Date,Amount,Category,Description
2025-09-06,4388.99,Entertainment,Game Purchase
2026-03-19,1675.71,Bills,Mobile Recharge
2025-02-06,2062.35,Shopping,Accessories
2025-01-27,975.06,Subscriptions,Hotstar
2025-04-23,3968.65,Entertainment,Movie
2025-07-21,4116.07,Groceries,Fruits
2025-11-05,1540.5,Food,Lunch
2025-08-08,510.82,Bills,Electricity
2025-01-16,4591.66,Gym,Shaker Bottle
2025-08-18,91.17,Bills,Electricity
2025-09-26,3904.29,Education,Course
2025-12-02,3663.13,Subscriptions,Prime Video
2025-01-03,2871.46,Subscriptions,Spotify
2025-05-07,1160.41,Education,Exam Fee
2025-05-29,3625.92,Travel,Auto Ride
2026-05-07,3368.64,Education,Books
2025-10-26,2555.56,Subscriptions,Hotstar
2025-06-06,2996.55,Gym,Shaker Bottle
2026-02-06,4273.2,Education,Course
2026-05-11,2728.46,Bills,Mobile Recharge
2025-06-01,1139.73,Shopping,Accessories
2025-07-11,404.65,Shopping,Accessories
2026-04-25,2835.53,Bills,Electricity
2025-06-13,1072.94,Entertainment,Movie
2025-08-03,4621.61,Entertainment,Movie
2026-03-11,2280.37,Shopping,Clothes
2026-02-11,3406.25,Education,Course
2025-09-06,2725.46,Bills,Electricity
2025-02-17,1800.17,Entertainment,Game Purchase
2026-02-12,252.53,Health,Doctor Visit
2026-04-23,3089.72,Gym,Shaker Bottle
2026-03-27,1263.48,Education,Exam Fee
2025-12-11,2812.68,Health,Medicines
2025-09-15,4272.58,Bills,Mobile Recharge
2025-11-03,2090.75,Subscriptions,Spotify
2026-01-24,76.12,Health,Doctor Visit
2025-07-23,4635.92,Bills,Electricity
2026-04-23,3739.6,Subscriptions,Prime Video
2025-04-23,2235.39,Bills,Mobile Recharge
2025-12-25,2492.03,Entertainment,Concert
2025-07-04,3078.67,Shopping,Electronics
2026-02-26,4718.22,Food,Snacks
2025-04-05,2668.73,Entertainment,Movie
2025-05-10,1345.21,Food,Snacks
2025-08-07,3418.84,Subscriptions,Hotstar
2025-04-03,2798.69,Education,Books
2025-03-03,4699.07,Health,Doctor Visit
2025-12-18,1476.86,Gym,Shaker Bottle
2025-07-20,4119.82,Bills,Internet
2025-12-14,3729.94,Food,Dinner
2025-08-21,2547.35,Subscriptions,Spotify
2025-02-03,3562.2,Gym,Gym Fee
2025-02-03,3306.41,Subscriptions,Hotstar
2025-07-16,523.99,Food,Chicken Roll
2025-07-28,2139.98,Shopping,Shoes
2026-04-03,4419.67,Shopping,Accessories
2025-05-19,4457.08,Subscriptions,Prime Video
2026-03-22,4960.63,Gym,Shaker Bottle
2025-08-06,2048.39,Travel,Fuel
2026-01-24,576.22,Shopping,Accessories
2025-08-24,179.63,Food,Pizza
2026-01-25,2915.83,Gym,Gym Fee
2025-08-09,55.03,Travel,Train Ticket
2025-02-04,4876.78,Groceries,Vegetables
2026-02-04,4386.67,Health,Doctor Visit
2025-09-02,3229.14,Shopping,Electronics
2026-03-25,3450.2,Education,Exam Fee
2026-01-08,1021.24,Shopping,Shoes
2025-03-08,2028.68,Bills,Internet
2025-08-25,1391.15,Shopping,Shoes
2025-02-01,4967.24,Travel,Train Ticket
2025-03-16,2855.02,Entertainment,Concert
2025-11-11,3670.18,Health,Protein Powder
2025-05-26,1141.47,Travel,Train Ticket
2025-12-25,3548.83,Subscriptions,Spotify
2026-03-20,2240.36,Education,Exam Fee
2025-06-24,3690.13,Health,Doctor Visit
2025-08-27,2200.44,Subscriptions,Hotstar
2026-01-14,4821.66,Education,Exam Fee
2025-01-02,1938.81,Subscriptions,Spotify
2025-01-15,2780.29,Bills,Internet
2025-08-04,2831.43,Bills,Electricity
2026-02-12,4330.76,Shopping,Electronics
2025-05-24,2160.71,Education,Books
2025-12-15,2796.06,Groceries,Rice
2025-10-22,197.68,Bills,Electricity
2026-03-03,1293.89,Groceries,Rice
2025-09-28,3550.27,Travel,Fuel
2025-06-16,95.73,Education,Books
2025-10-01,3873.78,Subscriptions,Prime Video
2026-02-10,4251.41,Travel,Fuel
2025-12-03,4020.98,Travel,Auto Ride
2025-05-24,2611.46,Food,Pizza
2025-02-27,4285.17,Health,Protein Powder
2026-01-09,109.73,Food,Lunch
2025-10-25,3507.54,Health,Doctor Visit
2025-02-06,2159.66,Bills,Electricity
2026-04-05,1106.75,Subscriptions,Prime Video
2026-02-24,3411.77,Bills,Internet
2025-02-18,657.32,Entertainment,Concert
2025-12-31,1259.66,Travel,Fuel
2025-07-06,3658.07,Gym,Supplements
2026-05-03,2824.65,Entertainment,Movie
2025-07-13,2954.74,Entertainment,Game Purchase
2025-09-23,3753.15,Gym,Gym Fee
2025-10-03,1602.98,Shopping,Clothes
2026-05-08,2247.42,Shopping,Shoes
2025-08-02,2420.45,Bills,Mobile Recharge
2026-01-05,123.09,Travel,Train Ticket
2026-04-15,4418.51,Entertainment,Movie
2025-09-13,4196.64,Bills,Internet
2025-03-24,4112.23,Subscriptions,Spotify
2026-01-01,4784.01,Shopping,Clothes
2025-10-31,4662.16,Shopping,Shoes
2025-04-17,2908.86,Travel,Auto Ride
2025-06-29,1505.72,Subscriptions,Hotstar
2026-03-12,2553.27,Travel,Fuel
2025-02-26,3401.77,Food,Coffee
2025-09-23,2291.77,Gym,Supplements
2025-07-15,1059.55,Entertainment,Movie
2025-07-10,3123.06,Gym,Shaker Bottle
2025-05-02,1524.23,Education,Exam Fee
2025-01-31,1367.37,Gym,Shaker Bottle
2025-07-14,1095.36,Groceries,Milk
2025-09-24,2703.44,Food,Snacks
2025-08-30,3105.31,Entertainment,Game Purchase
2026-01-15,847.91,Food,Dinner
2025-01-18,4795.19,Bills,Electricity
2025-02-08,4575.69,Entertainment,Netflix
2026-01-17,984.84,Food,Lunch
2025-02-04,1417.9,Shopping,Shoes
2025-07-20,3058.88,Gym,Gym Fee
2025-07-08,4258.96,Entertainment,Netflix
2025-11-04,124.06,Travel,Bus Ticket
2026-04-14,3919.98,Entertainment,Netflix
2025-01-21,522.95,Subscriptions,Hotstar
2025-04-21,3297.31,Entertainment,Concert
2025-11-08,3361.66,Groceries,Rice
2025-08-11,315.19,Health,Medicines
2025-09-05,641.95,Education,Exam Fee
2025-08-22,4605.15,Entertainment,Concert
2025-02-04,3927.15,Groceries,Milk
2026-03-02,1315.62,Bills,Mobile Recharge
2026-01-01,100.95,Health,Doctor Visit
2026-02-16,2671.55,Food,Snacks
2025-11-15,4363.37,Subscriptions,Prime Video
2025-03-10,2839.59,Shopping,Shoes
2025-09-04,1270.74,Food,Lunch
2025-03-07,4892.25,Shopping,Electronics
2025-02-04,874.04,Groceries,Vegetables
2026-03-18,4377.59,Gym,Shaker Bottle
2025-08-13,709.34,Education,Course
2026-02-28,2581.06,Travel,Fuel
2026-05-07,1781.52,Education,Books
2026-05-03,956.06,Entertainment,Movie
2025-02-19,638.69,Travel,Auto Ride
2025-06-22,790.77,Gym,Supplements
2025-10-15,2688.96,Subscriptions,Spotify
2025-03-24,3472.08,Health,Protein Powder
2026-03-07,2011.33,Health,Doctor Visit
2025-12-19,1725.08,Education,Course
2025-02-06,4427.5,Education,Exam Fee
2026-03-28,4437.38,Entertainment,Netflix
2026-04-16,143.95,Education,Books
2025-06-27,915.32,Shopping,Electronics
2025-11-19,4811.7,Shopping,Clothes
2025-05-31,2852.69,Shopping,Shoes
2025-08-28,3553.08,Subscriptions,Prime Video
2025-06-28,4701.97,Food,Coffee
2026-04-02,4625.69,Food,Snacks
2025-05-16,1258.26,Education,Exam Fee
2025-04-23,3438.24,Health,Protein Powder
2025-11-10,2910.86,Travel,Train Ticket
2026-05-11,1824.81,Gym,Shaker Bottle
2026-04-01,756.06,Travel,Fuel
2025-09-13,1413.12,Gym,Gym Fee
2025-11-17,1200.21,Bills,Electricity
2026-05-04,256.55,Shopping,Clothes
2025-07-15,1571.02,Health,Medicines
2025-11-01,1869.0,Food,Snacks
2025-06-24,1587.16,Gym,Supplements
2026-01-18,4716.43,Shopping,Accessories
2026-01-05,2247.5,Travel,Auto Ride
2025-01-02,3413.22,Subscriptions,Spotify
2026-01-12,1105.21,Gym,Supplements
2025-06-30,2527.63,Education,Course
2025-11-26,1410.92,Subscriptions,Hotstar
2025-09-28,2980.39,Subscriptions,Hotstar
2025-08-21,4327.69,Groceries,Milk
2025-06-24,1222.31,Shopping,Shoes
2025-11-02,865.37,Bills,Mobile Recharge
2025-11-18,1920.65,Groceries,Rice
2025-06-18,2925.46,Groceries,Milk
2025-10-30,577.85,Health,Medicines
2025-01-27,3984.7,Entertainment,Movie
2025-03-25,242.07,Gym,Shaker Bottle
2025-08-28,3684.26,Subscriptions,Hotstar
2025-07-20,1946.38,Shopping,Shoes
2025-06-13,3566.35,Travel,Train Ticket
2025-10-19,4400.09,Shopping,Clothes
2026-03-06,626.75,Health,Protein Powder
2026-04-22,4965.44,Entertainment,Movie
2026-01-05,3797.18,Shopping,Accessories
2026-04-30,1458.57,Health,Doctor Visit
2025-02-24,3783.04,Travel,Auto Ride
2026-04-12,3149.07,Subscriptions,Prime Video
2025-06-12,1397.07,Education,Books
2025-08-27,3342.7,Education,Books
2025-02-20,3767.78,Subscriptions,Prime Video
2025-02-19,497.4,Bills,Internet
2026-03-06,4326.8,Bills,Mobile Recharge
2025-08-09,2080.45,Food,Snacks
2025-04-27,3337.85,Travel,Train Ticket
2025-07-04,548.42,Entertainment,Netflix
2025-07-19,2816.93,Bills,Mobile Recharge
2025-06-01,2918.37,Health,Doctor Visit
2025-04-25,3482.8,Food,Pizza
2025-02-08,1048.26,Health,Doctor Visit
2025-04-17,2439.71,Education,Books
2025-04-01,1152.16,Health,Medicines
2025-03-01,190.16,Groceries,Fruits
2026-03-03,1942.68,Subscriptions,Spotify
2026-02-27,2187.72,Entertainment,Movie
2025-09-22,1310.75,Entertainment,Concert
2026-04-29,4950.21,Health,Medicines
2025-01-04,3938.09,Entertainment,Netflix
2025-08-26,4526.21,Bills,Internet
2026-02-13,357.33,Bills,Electricity
2026-04-07,329.15,Health,Medicines
2026-03-06,3636.65,Gym,Gym Fee
2025-07-24,1990.5,Groceries,Vegetables
2026-03-04,2636.14,Food,Dinner
2026-03-07,4040.87,Gym,Shaker Bottle
2025-02-19,3974.08,Health,Doctor Visit
2025-06-05,1549.9,Entertainment,Concert
2026-02-18,2212.0,Gym,Gym Fee
2026-03-12,4459.36,Subscriptions,Prime Video
2025-11-15,1953.98,Shopping,Electronics
2025-07-08,3272.07,Bills,Internet
2025-06-04,3384.54,Food,Coffee
2025-02-03,1500.36,Bills,Internet
2025-11-23,2500.33,Health,Medicines
2025-08-20,2173.87,Gym,Shaker Bottle
2025-11-04,1067.37,Subscriptions,Spotify
2025-08-15,1842.27,Gym,Gym Fee
2025-07-08,1627.67,Bills,Electricity
2025-08-21,2305.17,Subscriptions,Prime Video
2026-01-09,571.58,Shopping,Accessories
2025-04-23,806.7,Education,Exam Fee
2025-04-28,3478.02,Groceries,Milk
2025-08-06,3629.42,Travel,Auto Ride
2026-01-20,831.49,Groceries,Milk
2025-07-03,544.23,Travel,Auto Ride
2025-05-21,1719.09,Groceries,Milk
2025-07-05,1159.11,Shopping,Electronics
2025-02-28,1543.72,Gym,Shaker Bottle
2026-04-29,4682.87,Education,Books
2025-07-21,3355.04,Gym,Shaker Bottle
2025-02-18,834.27,Education,Books
2025-02-02,2101.77,Food,Chicken Roll
2026-02-05,1191.3,Health,Protein Powder
2025-08-01,4759.58,Education,Books
2025-02-03,3806.42,Gym,Shaker Bottle
2026-02-11,1037.95,Entertainment,Game Purchase
2025-01-22,1440.92,Travel,Fuel
2025-09-12,2018.02,Entertainment,Movie
2025-01-17,2658.58,Subscriptions,Hotstar
2025-08-05,1364.76,Entertainment,Concert
2025-09-28,1191.27,Entertainment,Game Purchase
2025-04-01,2460.02,Gym,Supplements
2025-08-14,200.26,Education,Exam Fee
2025-05-04,1377.68,Bills,Mobile Recharge
2026-05-02,4163.38,Subscriptions,Hotstar
2025-03-28,1573.05,Subscriptions,Hotstar
2025-05-19,673.43,Gym,Gym Fee
2026-02-21,359.29,Health,Doctor Visit
2025-04-02,4229.23,Travel,Fuel
2025-12-13,3450.01,Groceries,Milk
2025-05-21,3748.35,Gym,Supplements
2025-03-24,660.09,Shopping,Accessories
2025-09-05,4319.42,Education,Books
2025-05-12,3503.71,Education,Exam Fee
2025-06-07,3712.19,Entertainment,Game Purchase
2025-05-16,4944.31,Shopping,Accessories
2025-12-24,1394.76,Groceries,Rice
2025-08-13,4889.33,Food,Dinner
2025-05-23,2556.21,Groceries,Rice
2025-06-03,1088.95,Groceries,Fruits
2025-07-18,1460.19,Shopping,Electronics
2025-10-11,146.06,Subscriptions,Prime Video
2025-07-02,1353.24,Health,Protein Powder
2026-05-07,903.42,Education,Books
2026-01-21,648.7,Education,Course
2025-08-25,1758.03,Food,Coffee
2025-12-19,1041.81,Entertainment,Concert
2025-03-03,480.14,Entertainment,Netflix
2025-06-15,3884.13,Shopping,Shoes
2025-12-20,3787.55,Gym,Supplements
2026-04-10,2680.01,Groceries,Milk
2025-10-30,1303.15,Gym,Shaker Bottle
2025-07-31,518.54,Subscriptions,Prime Video
2025-03-04,2530.73,Health,Doctor Visit
2025-10-26,1547.15,Gym,Gym Fee
2025-08-29,2036.11,Bills,Electricity
2025-05-01,4898.45,Travel,Bus Ticket
2026-04-10,3524.38,Health,Protein Powder
2025-10-21,2045.99,Entertainment,Netflix
2025-02-21,1989.11,Education,Exam Fee
2026-02-23,4947.71,Bills,Electricity
2025-11-30,2911.76,Groceries,Rice
2025-08-24,4509.62,Travel,Train Ticket
2025-05-11,277.0,Health,Protein Powder
2026-04-29,4970.86,Groceries,Vegetables
2025-12-26,4274.9,Bills,Internet
2025-12-10,4261.88,Shopping,Accessories
2025-09-03,3806.81,Shopping,Clothes
2025-12-16,1442.04,Bills,Mobile Recharge
2026-03-12,1122.48,Food,Pizza
2025-10-31,1018.5,Subscriptions,Prime Video
2026-02-10,1979.2,Food,Chicken Roll
2026-04-15,4471.72,Bills,Mobile Recharge
2025-06-27,2988.96,Bills,Electricity
2026-03-26,2769.41,Food,Pizza
2026-03-13,1967.74,Gym,Gym Fee
2025-12-29,2349.48,Subscriptions,Prime Video
2025-07-14,1594.2,Travel,Train Ticket
2026-02-01,1825.27,Bills,Mobile Recharge
2026-03-31,79.44,Entertainment,Game Purchase
2026-04-22,3502.69,Subscriptions,Hotstar
2025-12-08,1012.47,Entertainment,Movie
2025-08-24,1229.5,Health,Medicines
2025-01-11,3106.58,Shopping,Electronics
2026-01-09,4977.01,Shopping,Clothes
2025-12-15,320.42,Groceries,Fruits
2025-01-28,4501.74,Entertainment,Game Purchase
2026-04-10,2126.22,Travel,Fuel
2025-06-13,2958.85,Food,Dinner
2025-09-24,417.51,Bills,Electricity
2025-01-23,776.25,Bills,Mobile Recharge
2025-03-22,1765.85,Shopping,Shoes
2026-03-31,346.95,Travel,Fuel
2025-12-06,3661.02,Subscriptions,Spotify
2025-05-28,2496.93,Travel,Fuel
2025-08-09,645.43,Gym,Supplements
2026-01-04,4076.24,Groceries,Vegetables
2025-04-04,2029.82,Health,Doctor Visit
2026-05-02,3652.19,Travel,Train Ticket
2025-01-19,3083.96,Bills,Internet
2026-01-04,2013.81,Health,Protein Powder
2026-04-28,359.22,Entertainment,Concert
2025-06-25,1246.96,Entertainment,Concert
2025-02-04,3291.42,Health,Medicines
2025-05-08,412.78,Health,Protein Powder
2026-01-20,4018.27,Groceries,Fruits
2026-02-20,3407.32,Subscriptions,Prime Video
2025-05-30,418.99,Subscriptions,Prime Video
2026-01-17,749.42,Entertainment,Concert
2025-11-09,1747.34,Subscriptions,Prime Video
2025-01-31,1886.49,Gym,Gym Fee
2026-03-31,4047.96,Subscriptions,Hotstar
2025-12-24,1062.06,Education,Course
2025-01-05,3618.83,Subscriptions,Prime Video
2025-08-10,3620.78,Travel,Fuel
2025-04-17,4453.22,Food,Lunch
2026-03-16,2992.12,Bills,Electricity
2025-03-26,162.51,Health,Protein Powder
2025-09-04,2615.44,Gym,Supplements
2026-01-23,3567.86,Education,Course
2026-03-09,3716.59,Entertainment,Game Purchase
2025-12-06,2080.64,Health,Doctor Visit
2026-02-27,1283.92,Education,Exam Fee
2025-09-01,1199.73,Food,Lunch
2025-12-25,3113.95,Subscriptions,Prime Video
2025-05-18,1079.84,Groceries,Milk
2026-04-18,2620.55,Entertainment,Game Purchase
2025-04-25,4697.31,Education,Exam Fee
2026-02-17,3390.7,Travel,Train Ticket
2026-04-04,1627.64,Gym,Shaker Bottle
2025-10-17,1702.29,Gym,Supplements
2025-08-20,1461.71,Subscriptions,Prime Video
2025-10-13,2047.69,Entertainment,Netflix
2025-06-14,4783.55,Groceries,Fruits
2025-10-07,3901.16,Groceries,Milk
2025-11-30,2855.78,Travel,Train Ticket
2025-11-03,635.03,Shopping,Accessories
2026-03-23,3402.99,Health,Medicines
2025-08-26,2362.21,Shopping,Clothes
2025-03-17,4671.93,Subscriptions,Prime Video
2026-02-17,399.37,Entertainment,Movie
2026-02-15,2815.43,Food,Chicken Roll
2025-09-20,2827.93,Education,Books
2025-02-11,1347.45,Subscriptions,Spotify
2026-01-18,1621.52,Food,Coffee
2025-11-27,1516.42,Groceries,Milk
2026-05-16,4229.09,Travel,Fuel
2025-06-01,2072.19,Health,Protein Powder
2025-05-09,2803.59,Food,Dinner
2025-07-16,183.16,Health,Protein Powder
2025-08-06,671.71,Gym,Gym Fee
2025-02-22,2831.07,Education,Exam Fee
2025-08-10,4149.35,Shopping,Clothes
2025-12-18,3841.36,Entertainment,Game Purchase
2025-01-04,2443.39,Entertainment,Netflix
2025-10-25,282.54,Groceries,Milk
2025-12-23,2214.07,Gym,Shaker Bottle
2025-03-25,3747.91,Entertainment,Movie
2025-05-30,4923.34,Food,Lunch
2025-11-23,429.02,Health,Doctor Visit
2025-03-14,2225.63,Gym,Shaker Bottle
2026-02-28,3788.55,Bills,Mobile Recharge
2026-02-11,1665.78,Travel,Bus Ticket
2026-02-06,2060.43,Bills,Electricity
2025-05-06,2490.04,Groceries,Fruits
2025-05-11,3993.76,Food,Snacks
2026-03-22,1994.28,Gym,Gym Fee
2026-01-09,3747.53,Food,Snacks
2026-05-14,3910.29,Subscriptions,Hotstar
2025-05-18,4969.03,Food,Lunch
2026-01-06,3795.16,Groceries,Fruits
2025-10-18,4599.19,Education,Course
2025-02-26,4179.2,Travel,Train Ticket
2025-09-16,326.25,Entertainment,Concert
2025-10-07,152.98,Education,Exam Fee
2025-07-01,4332.44,Entertainment,Netflix
2025-10-20,1162.86,Travel,Bus Ticket
2025-07-27,2317.33,Groceries,Vegetables
2025-01-31,2092.75,Health,Protein Powder
2025-06-02,2107.35,Education,Course
2025-03-03,3428.49,Groceries,Milk
2026-01-11,3894.43,Health,Medicines
2025-06-19,3708.49,Travel,Bus Ticket
2026-01-09,4307.67,Groceries,Vegetables
2025-11-14,1166.62,Travel,Bus Ticket
2026-02-27,3665.27,Bills,Electricity
2026-01-07,1337.73,Entertainment,Netflix
2025-11-30,775.0,Shopping,Clothes
2025-01-09,4267.0,Travel,Auto Ride
2026-03-12,533.68,Subscriptions,Spotify
2025-03-26,124.38,Bills,Electricity
2026-01-01,2627.38,Bills,Mobile Recharge
2025-02-15,1235.18,Food,Dinner
2025-03-29,3348.99,Education,Books
2025-04-10,550.66,Travel,Bus Ticket
2025-11-16,3373.14,Food,Lunch
2026-03-06,4445.18,Health,Doctor Visit
2025-01-27,1904.25,Travel,Auto Ride
2025-02-22,4842.92,Bills,Internet
2025-06-27,1526.7,Travel,Auto Ride
2026-05-07,3403.45,Gym,Shaker Bottle
2026-05-01,1275.13,Travel,Train Ticket
2025-05-25,1253.05,Travel,Fuel
2025-03-09,4277.84,Shopping,Clothes
2025-11-07,3711.25,Subscriptions,Prime Video
2025-03-13,2174.88,Entertainment,Movie
2025-12-22,3055.44,Health,Doctor Visit
2025-11-10,3800.38,Gym,Supplements
2025-04-25,4934.85,Groceries,Fruits
2026-03-03,2566.44,Education,Exam Fee
2025-11-28,3814.64,Entertainment,Concert
2025-06-15,4992.83,Groceries,Vegetables
2025-05-23,2027.07,Bills,Internet
2025-04-11,1634.11,Health,Doctor Visit
2025-01-14,1142.15,Subscriptions,Hotstar
2026-03-20,3695.54,Bills,Mobile Recharge
2025-10-08,4994.26,Travel,Train Ticket
2026-01-13,4488.71,Health,Protein Powder
2026-04-20,4550.34,Entertainment,Netflix
2026-02-12,921.96,Food,Dinner
2025-07-14,3562.27,Food,Snacks
2026-03-27,925.5,Travel,Auto Ride
2025-06-14,1074.66,Health,Doctor Visit
2025-03-05,2511.26,Shopping,Accessories
2026-04-02,3104.99,Subscriptions,Prime Video
2025-05-11,1147.44,Food,Chicken Roll
2026-04-27,2980.39,Shopping,Clothes
2026-04-20,4052.68,Subscriptions,Hotstar
2025-12-11,267.51,Food,Pizza
2025-12-31,830.57,Subscriptions,Spotify
2026-04-13,4251.68,Travel,Train Ticket
2026-03-12,2827.21,Travel,Fuel
2026-04-22,1017.53,Health,Doctor Visit
2025-08-12,2222.15,Subscriptions,Spotify
2025-04-03,689.66,Travel,Auto Ride
2025-09-23,2400.94,Health,Protein Powder
2025-05-03,632.98,Entertainment,Netflix
2025-11-23,2495.63,Gym,Shaker Bottle
2025-05-21,2326.97,Health,Protein Powder
2025-09-20,148.92,Subscriptions,Spotify
2025-04-21,383.64,Entertainment,Game Purchase
2025-04-16,3275.81,Health,Doctor Visit
2025-06-30,2301.93,Health,Doctor Visit
2025-10-18,349.04,Travel,Auto Ride
2026-03-26,1128.56,Bills,Electricity
2025-03-22,702.47,Groceries,Vegetables
2025-08-06,4117.07,Health,Medicines
2026-02-08,610.51,Education,Books
2025-09-26,3451.07,Health,Protein Powder
2025-07-15,2022.08,Bills,Mobile Recharge
2025-01-08,3548.88,Health,Doctor Visit
2025-06-12,3191.47,Groceries,Fruits
2025-06-02,3129.35,Shopping,Electronics
2025-01-20,665.66,Travel,Train Ticket
2025-09-11,4358.8,Education,Course
2025-05-30,3917.63,Shopping,Clothes
2025-07-24,1325.83,Food,Lunch
2026-03-07,3142.55,Education,Exam Fee
2025-06-29,4180.42,Entertainment,Movie
2025-02-24,2351.39,Groceries,Fruits
2026-01-30,4965.06,Shopping,Electronics
2026-02-12,3805.02,Food,Dinner
2026-02-08,4253.08,Food,Lunch
2026-02-11,3107.74,Groceries,Vegetables
2025-01-24,4807.52,Subscriptions,Prime Video
2025-09-20,3822.44,Groceries,Vegetables
2025-01-19,3577.52,Entertainment,Game Purchase
2025-09-15,4452.58,Gym,Shaker Bottle
2025-02-22,1587.22,Education,Course
2025-06-04,277.6,Subscriptions,Prime Video
2026-03-25,4288.9,Bills,Mobile Recharge
2026-02-01,4128.15,Subscriptions,Hotstar
2025-01-18,126.54,Subscriptions,Hotstar
2026-03-05,4832.64,Education,Books
2025-12-23,4117.72,Bills,Mobile Recharge
2025-05-05,2477.05,Gym,Gym Fee
2025-05-30,2635.08,Travel,Train Ticket
2025-07-28,4636.43,Food,Lunch
2025-02-11,4827.76,Entertainment,Game Purchase
2025-06-07,2847.26,Travel,Auto Ride
2025-02-26,1888.94,Subscriptions,Hotstar
2025-01-11,4954.65,Groceries,Rice
2025-12-31,1659.24,Travel,Auto Ride
2025-01-15,2984.79,Entertainment,Movie
2025-10-17,3380.38,Travel,Auto Ride
2025-04-17,3495.56,Education,Books
2025-11-15,3764.59,Travel,Bus Ticket
2025-02-21,210.28,Travel,Train Ticket
2025-08-22,4772.03,Bills,Mobile Recharge
2026-05-12,1720.88,Travel,Fuel
2025-06-08,2430.47,Education,Course
2025-01-20,2236.34,Entertainment,Concert
2026-01-30,1233.25,Bills,Internet
2025-03-19,3312.71,Education,Exam Fee
2025-11-02,2180.55,Education,Exam Fee
2025-09-22,2909.3,Groceries,Milk
2025-06-10,1262.79,Gym,Supplements
2025-11-15,3930.89,Education,Exam Fee
2025-07-19,1971.0,Subscriptions,Prime Video
2025-10-16,594.59,Health,Doctor Visit
2026-04-27,3761.17,Food,Snacks
2025-03-18,2944.03,Travel,Train Ticket
2025-05-30,942.2,Gym,Gym Fee
2025-07-19,2465.37,Subscriptions,Hotstar
2025-07-31,972.51,Food,Lunch
2025-03-29,3931.36,Bills,Internet
2025-01-13,1995.38,Gym,Gym Fee
2025-12-22,1397.19,Travel,Bus Ticket
2025-03-30,2618.33,Entertainment,Concert
2026-04-18,3936.25,Health,Doctor Visit
2025-10-04,4142.73,Gym,Supplements
2025-02-02,3100.32,Education,Books
2025-04-06,4297.29,Shopping,Electronics
2025-12-06,531.19,Bills,Mobile Recharge
2026-03-15,2819.55,Gym,Shaker Bottle
2025-12-22,3436.55,Shopping,Electronics
2025-04-10,2657.99,Bills,Mobile Recharge
2025-12-10,128.98,Education,Books
2025-03-30,3648.2,Subscriptions,Spotify
2025-02-24,594.6,Education,Books
2025-03-18,915.69,Groceries,Vegetables
2025-12-02,932.05,Groceries,Fruits
2025-03-31,3365.2,Subscriptions,Hotstar
2025-07-12,944.76,Shopping,Accessories
2025-08-20,1722.67,Groceries,Milk
2025-12-14,3878.26,Health,Doctor Visit
2025-10-22,3420.77,Bills,Internet
2025-12-01,2708.67,Subscriptions,Prime Video
2025-10-01,3541.62,Groceries,Milk
2025-09-26,385.67,Food,Snacks
2025-09-16,1888.14,Shopping,Clothes
2026-02-28,3888.71,Health,Medicines
2025-08-25,1991.02,Shopping,Accessories
2025-12-03,438.43,Food,Snacks
2025-10-19,3085.54,Bills,Electricity
2025-09-10,2482.18,Food,Snacks
2025-08-04,3597.5,Gym,Shaker Bottle
2025-02-11,397.76,Bills,Mobile Recharge
2025-11-09,3809.3,Gym,Gym Fee
2026-04-23,1009.06,Subscriptions,Spotify
2025-07-24,86.71,Gym,Shaker Bottle
2025-05-10,4541.43,Subscriptions,Prime Video
2025-12-02,2681.93,Health,Doctor Visit
2025-02-26,1329.78,Shopping,Electronics
2026-01-02,2517.02,Groceries,Fruits
2025-02-14,1450.98,Bills,Electricity
2025-01-27,2152.82,Subscriptions,Prime Video
2025-05-09,1820.38,Subscriptions,Hotstar
2026-01-04,634.33,Groceries,Fruits
2025-03-30,3411.74,Entertainment,Netflix
2025-09-24,2690.89,Subscriptions,Hotstar
2025-01-22,3581.68,Entertainment,Game Purchase
2025-12-20,3574.17,Education,Books
2025-12-11,4189.22,Travel,Bus Ticket
2025-01-06,4422.62,Subscriptions,Spotify
2026-03-30,527.06,Subscriptions,Hotstar
2026-04-25,1043.96,Shopping,Accessories
2026-04-05,4795.29,Shopping,Accessories
2026-04-16,1874.99,Bills,Internet
2025-01-25,2732.55,Shopping,Electronics
2026-01-01,1948.84,Shopping,Accessories
2026-03-23,2053.42,Food,Lunch
2026-01-27,855.18,Travel,Train Ticket
2025-09-10,3893.69,Health,Medicines
2025-09-28,1058.4,Travel,Fuel
2025-03-17,3020.45,Shopping,Accessories
2025-05-22,3942.23,Bills,Electricity
2025-08-06,62.94,Food,Coffee
2025-04-15,3955.2,Shopping,Accessories
2025-06-30,3058.58,Entertainment,Netflix
2025-10-13,1193.95,Bills,Mobile Recharge
2025-12-05,118.25,Gym,Gym Fee
2025-04-06,374.2,Health,Protein Powder
2025-07-06,2438.34,Groceries,Milk
2025-04-22,1675.18,Groceries,Fruits
2025-05-07,2277.29,Education,Course
2025-10-31,4822.0,Food,Snacks
2025-02-12,1727.43,Subscriptions,Prime Video
2025-08-08,4565.91,Health,Medicines
2025-02-11,3681.21,Education,Exam Fee
2025-07-09,2064.38,Subscriptions,Spotify
2025-12-13,3492.13,Travel,Auto Ride
2025-10-30,1281.0,Travel,Auto Ride
2026-01-18,4126.38,Health,Doctor Visit
2026-02-13,529.29,Food,Lunch
2025-12-23,1861.15,Travel,Auto Ride
